Gadgets information
============================================================
0x0809e102 : pop ds ; pop ebx ; pop esi ; pop edi ; ret
0x0809e0fa : pop eax ; pop ebx ; pop esi ; pop edi ; ret
0x080b91e6 : pop eax ; ret
0x0804c56d : pop eax ; ret 0x80e
0x080d9ff8 : pop eax ; ret 0xfff7
0x080dfcd8 : pop eax ; ret 0xfff9
0x0805bf3d : pop ebp ; pop ebx ; pop esi ; pop edi ; ret
0x0809e4c5 : pop ebp ; pop esi ; pop edi ; ret
0x080483ba : pop ebp ; ret
0x080a25b9 : pop ebp ; ret 0x10
0x08096b21 : pop ebp ; ret 0x14
0x080718b4 : pop ebp ; ret 0xc
0x0804ab69 : pop ebp ; ret 4
0x08049a98 : pop ebp ; ret 8
0x0809e4c4 : pop ebx ; pop ebp ; pop esi ; pop edi ; ret
0x0809a7dc : pop ebx ; pop edi ; ret
0x0806fc09 : pop ebx ; pop edx ; ret
0x0804f460 : pop ebx ; pop esi ; pop ebp ; ret
0x080483b7 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret
0x080a25b6 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 0x10
0x08096b1e : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 0x14
0x080718b1 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 0xc
0x0804ab66 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 4
0x08049a95 : pop ebx ; pop esi ; pop edi ; pop ebp ; ret 8
0x080509a5 : pop ebx ; pop esi ; pop edi ; ret
0x080498af : pop ebx ; pop esi ; pop edi ; ret 4
0x08049923 : pop ebx ; pop esi ; ret
0x080481ad : pop ebx ; ret
0x080d413c : pop ebx ; ret 0x6f9
0x08099f96 : pop ebx ; ret 8
0x0806fc31 : pop ecx ; pop ebx ; ret
0x080483b9 : pop edi ; pop ebp ; ret
0x080a25b8 : pop edi ; pop ebp ; ret 0x10
0x08096b20 : pop edi ; pop ebp ; ret 0x14
0x080718b3 : pop edi ; pop ebp ; ret 0xc
0x0804ab68 : pop edi ; pop ebp ; ret 4
0x08049a97 : pop edi ; pop ebp ; ret 8
0x08063adb : pop edi ; pop esi ; pop ebx ; ret
0x0805cd88 : pop edi ; pop esi ; ret
0x0805099d : pop edi ; ret
0x080498b1 : pop edi ; ret 4
0x0806fc30 : pop edx ; pop ecx ; pop ebx ; ret
0x0806fc0a : pop edx ; ret
0x0809bff2 : pop edx ; ret 0xfffa
0x0809e0f9 : pop es ; pop eax ; pop ebx ; pop esi ; pop edi ; ret
0x0807b1b0 : pop es ; pop ebx ; ret
0x0806795a : pop es ; pop edi ; ret
0x08067b9a : pop es ; ret
0x0804f461 : pop esi ; pop ebp ; ret
0x0806fc08 : pop esi ; pop ebx ; pop edx ; ret
0x0805d090 : pop esi ; pop ebx ; ret
0x080483b8 : pop esi ; pop edi ; pop ebp ; ret
0x080a25b7 : pop esi ; pop edi ; pop ebp ; ret 0x10
0x08096b1f : pop esi ; pop edi ; pop ebp ; ret 0x14
0x080718b2 : pop esi ; pop edi ; pop ebp ; ret 0xc
0x0804ab67 : pop esi ; pop edi ; pop ebp ; ret 4
0x08049a96 : pop esi ; pop edi ; pop ebp ; ret 8
0x0805099c : pop esi ; pop edi ; ret
0x080498b0 : pop esi ; pop edi ; ret 4
0x08048a18 : pop esi ; ret
0x08093efe : pop esi ; ret 0xfffd
0x0805b8a0 : pop esp ; pop ebx ; pop esi ; pop edi ; pop ebp ; ret
0x080b9196 : pop esp ; ret
0x0804c5cc : pop esp ; ret 0x80e
0x0809efe2 : pop ss ; pop ebx ; pop esi ; pop edi ; pop ebp ; ret
0x080a8623 : pop ss ; ret
0x08064169 : pop ss ; ret 0x2c73
0x08064b2a : pop ss ; ret 0x3273
0x08064154 : pop ss ; ret 0x3e73
0x08064b10 : pop ss ; ret 0x4c73
0x0806413f : pop ss ; ret 0x5073
0x0806412a : pop ss ; ret 0x6273
0x08064af6 : pop ss ; ret 0x6673
0x080626a5 : pop ss ; ret 0x830f
0x08048196 : ret
0x0804846f : ret 0
0x080a25ba : ret 0x10
0x0807ae90 : ret 0x101
0x0808adf7 : ret 0x107
0x080af54f : ret 0x1075
0x08058881 : ret 0x108
0x0809c6b4 : ret 0x10eb
0x0805de00 : ret 0x110
0x0809ad83 : ret 0x1172
0x0806fc5c : ret 0x1175
0x08073cd1 : ret 0x1189
0x08096b22 : ret 0x14
0x08099ad4 : ret 0x1474
0x08078c19 : ret 0x153b
0x080b7368 : ret 0x1577
0x080580e0 : ret 0x1589
0x08059d1a : ret 0x15e
0x08069617 : ret 0x1676
0x080a0734 : ret 0x1689
0x08090186 : ret 0x190
0x080cc906 : ret 0x198
0x0809849d : ret 0x1a72
0x080d3956 : ret 0x1ad4
0x080d20ed : ret 0x1b49
0x080a0520 : ret 0x1b9
0x08059eab : ret 0x1bb
0x0807935d : ret 0x1be
0x080ba283 : ret 0x1c89
0x080aa4d0 : ret 0x1d0
0x080ca090 : ret 0x1d4
0x080ca828 : ret 0x1d5
0x0805fbed : ret 0x1d72
0x08068d2e : ret 0x1d75
0x0805dc0d : ret 0x1e72
0x08096389 : ret 0x1eeb
0x0807b19d : ret 0x200
0x0809f00e : ret 0x20b9
0x0805a440 : ret 0x2375
0x080c9098 : ret 0x24
0x0805c1ca : ret 0x2474
0x080a62da : ret 0x25
0x08053fd9 : ret 0x2501
0x0806d258 : ret 0x2577
0x0804f8bf : ret 0x2673
0x08069607 : ret 0x2676
0x0804894d : ret 0x26b5
0x080a3214 : ret 0x273
0x08068d49 : ret 0x275
0x080dd5ff : ret 0x28
0x08064f4a : ret 0x280f
0x08091d02 : ret 0x2875
0x0805579d : ret 0x28b
0x08082f72 : ret 0x2901
0x08093dba : ret 0x290c
0x0805d6bb : ret 0x2910
0x0805843b : ret 0x2975
0x0809efdb : ret 0x2b8
0x080a9379 : ret 0x2b9
0x0809ad9e : ret 0x2c6
0x0806416a : ret 0x2c73
0x0805bcf9 : ret 0x2c75
0x08095890 : ret 0x2ee9
0x08056f96 : ret 0x301
0x080ab969 : ret 0x31e9
0x08064b2b : ret 0x3273
0x0808f252 : ret 0x3276
0x080c9588 : ret 0x33
0x0804cbb4 : ret 0x3325
0x080abf76 : ret 0x348b
0x0804c924 : ret 0x3677
0x08098427 : ret 0x3773
0x0805acdf : ret 0x3774
0x0808ba9e : ret 0x3775
0x080d3236 : ret 0x3827
0x08068d13 : ret 0x3875
0x080705ec : ret 0x3880
0x080547b3 : ret 0x389
0x080d18c6 : ret 0x38ae
0x08053bc7 : ret 0x38b
0x0804cf0b : ret 0x3901
0x08073a9e : ret 0x3904
0x08090081 : ret 0x3907
0x08056267 : ret 0x3908
0x0807d2e6 : ret 0x390c
0x08059561 : ret 0x3910
0x080695f4 : ret 0x3976
0x080916da : ret 0x3a80
0x0807b70a : ret 0x3b01
0x080563ca : ret 0x3c74
0x08058e8d : ret 0x3c8d
0x0806ce93 : ret 0x3d83
0x08064155 : ret 0x3e73
0x08069a57 : ret 0x3f
0x0808f3b8 : ret 0x408d
0x0804eeac : ret 0x4174
0x0807223b : ret 0x418d
0x08094ccf : ret 0x420f
0x0805c5b3 : ret 0x428d
0x080a1264 : ret 0x430f
0x0806d794 : ret 0x4389
0x0805c501 : ret 0x4401
0x080ac120 : ret 0x442b
0x0804eafd : ret 0x443b
0x08052522 : ret 0x4489
0x08057c65 : ret 0x448b
0x08099f30 : ret 0x448d
0x08051cb8 : ret 0x44c7
0x080b3888 : ret 0x44d9
0x08049ce6 : ret 0x4589
0x08050290 : ret 0x458b
0x0809c3e2 : ret 0x45c7
0x0809fcf5 : ret 0x45e9
0x08095454 : ret 0x4668
0x0809ac57 : ret 0x4689
0x080987bc : ret 0x468b
0x080d23c4 : ret 0x474c
0x080cc88e : ret 0x48
0x080ac336 : ret 0x48b
0x0804b37b : ret 0x48d
0x080d3b82 : ret 0x48f
0x08068f43 : ret 0x498d
0x080a215b : ret 0x4a76
0x08064b11 : ret 0x4c73
0x08094ee7 : ret 0x4c8b
